Comment_count,Like_count,View_count,thumbnail,time,title,video_link
41007,1870842,447475843,https://i.ytimg.com/vi/07d2dXHYb94/default.jpg,2018-10-24T20:00:14Z,Pip | A Short Animated Film by Southeastern Guide Dogs,https://www.youtube.com/watch?v=07d2dXHYb94
4862,220443,48808776,https://i.ytimg.com/vi/SqH74p8cykw/default.jpg,2016-07-30T20:51:35Z,Territorio de Zaguates &quot;Land of The Strays&quot; Dog Rescue Ranch Sanctuary in Costa Rica,https://www.youtube.com/watch?v=SqH74p8cykw
84,1007,17121,https://i.ytimg.com/vi/6je0gE27kn0/default.jpg,2023-02-23T12:00:11Z,Shocking ! Leopard Attack And Eat Stupid Dog And What Happened Next? | Wild Animals,https://www.youtube.com/watch?v=6je0gE27kn0
248,5651,118003,https://i.ytimg.com/vi/ECHlvUyaXFU/default.jpg,2023-02-22T14:00:07Z,Rescue Dog Gets The Most Gorgeous Adoptaversary Cake | The Dodo,https://www.youtube.com/watch?v=ECHlvUyaXFU
45,1157,266467,https://i.ytimg.com/vi/a5e7yEhbGhk/default.jpg,2022-10-25T00:44:23Z,Dogs playing: Episode 53,https://www.youtube.com/watch?v=a5e7yEhbGhk
890,47118,13409168,https://i.ytimg.com/vi/nmnaI3TGtBo/default.jpg,2021-01-13T00:00:09Z,TOP 10 Beagle Dog Parties Ft. Louie &amp; Marie,https://www.youtube.com/watch?v=nmnaI3TGtBo
2012,66572,409978,https://i.ytimg.com/vi/38FDwbjo6Dk/default.jpg,2023-02-21T16:00:03Z,Cash Finds a Talking Dog!,https://www.youtube.com/watch?v=38FDwbjo6Dk
1920,87312,36555680,https://i.ytimg.com/vi/nbfWVn9waM8/default.jpg,2021-05-21T13:42:28Z,Cute Babies Playing With Dogs Compilation | Funny Baby And Pets,https://www.youtube.com/watch?v=nbfWVn9waM8
907,110486,1849105,https://i.ytimg.com/vi/4-yPeCpk0zg/default.jpg,2023-02-20T23:45:48Z,This dog’s reaction of getting adopted is awesome 🙌,https://www.youtube.com/watch?v=4-yPeCpk0zg
102,2987,1558151,https://i.ytimg.com/vi/ECSvQ281L70/default.jpg,2022-08-26T16:28:50Z,50 Minutes of cute and funny dogs,https://www.youtube.com/watch?v=ECSvQ281L70
